PRVDR_CTGRY_SBTYP_CD,PRVDR_CTGRY_CD,PRVDR_NUM,PGM_TRMNTN_CD,ZIP_CD
01,01,010001,00,36301
01,01,010004,01,35740
01,01,010005,00,35957
01,01,010006,00,35631
01,01,010007,00,36467
01,01,010008,00,36049
01,01,010009,01,35640
01,01,010010,01,35976
01,01,010011,00,35235
01,01,010012,00,35968
01,01,010015,01,36784
01,01,010016,00,35007
01,01,010017,01,36108
01,01,010018,00,35233
01,01,010019,00,35660
01,01,010020,01,36272
01,01,010021,00,36360
01,01,010022,00,35960
01,01,010023,00,36116
01,01,010024,00,36106
01,01,010025,01,36854
01,01,010026,01,36420
01,01,010027,01,36323
01,01,010028,01,35976
01,01,010029,00,36801
01,01,010031,01,36867
01,01,010032,00,36278
01,01,010033,00,35233
01,01,010034,00,36078
01,01,010035,00,35058
01,01,010036,00,36420
01,01,010038,00,36201
01,01,010039,00,35801
01,01,010040,00,35903
01,01,010041,01,36572
01,01,010043,01,35045
01,01,010044,00,35570
01,01,010045,00,35555
01,01,010046,00,35901
01,01,010047,00,36033
01,01,010049,00,36330
01,01,010050,07,35121
01,01,010051,00,35462
01,01,010052,00,36853
01,01,010053,01,36502
01,01,010054,01,35601
01,01,010055,00,36305
01,01,010056,00,35205
01,01,010057,01,36331
01,01,010058,00,35042
01,01,010059,00,35650
01,01,010060,04,36264
01,01,010061,00,35768
01,01,010062,00,36340
01,01,010064,01,35234
01,01,010065,00,35010
01,01,010066,01,36442
01,01,010067,01,36088
01,01,010068,01,35064
01,01,010069,00,36027
01,01,010070,01,35218
01,01,010072,07,35150
01,01,010073,00,36251
01,01,010074,01,36310
01,01,010078,00,36207
01,01,010079,00,35611
01,01,010080,01,35592
01,01,010081,04,36104
01,01,010083,00,36535
01,01,010084,01,35205
01,01,010085,00,35601
01,01,010086,00,35594
01,01,010087,00,36617
01,01,010089,00,35502
01,01,010090,00,36608
01,01,010091,00,36451
01,01,010092,00,35401
01,01,010094,04,35653
01,01,010095,00,36744
01,01,010096,01,36441
01,01,010097,00,36092
01,01,010098,01,36274
01,01,010099,00,36426
01,01,010100,00,36532
01,01,010101,00,35161
01,01,010102,00,36726
01,01,010103,00,35211
01,01,010104,00,35243
01,01,010108,00,36067
01,01,010109,00,35447
01,01,010110,00,36089
01,01,010111,06,35563
01,01,010112,00,36732
01,01,010113,00,36652
01,01,010114,00,35021
01,01,010115,01,35582
01,01,010117,01,35073
01,01,010118,00,36701
01,01,010119,01,36604
01,01,010120,00,36460
01,01,010121,01,36701
01,01,010122,01,36904
01,01,010123,04,35630
01,01,010124,04,35662
01,01,010125,00,35565
01,01,010126,00,36081
01,01,010127,01,35801
01,01,010128,00,36545
01,01,010129,00,36507
01,01,010130,00,35125
01,01,010131,00,35801
01,01,010133,04,35470
01,01,010134,07,36518
01,01,010136,01,35647
01,01,010137,01,35233
01,01,010138,00,36925
01,01,010139,00,35209
01,01,010143,01,35055
01,01,010144,00,36608
01,01,010145,01,35476
01,01,010146,00,36265
01,01,010148,00,36401
01,01,010149,00,36117
"",01,01014F,00,35233
01,01,010150,00,36037
01,01,010152,01,36693
01,01,010153,04,35401
01,01,010155,04,36756
01,01,010156,07,36106
01,01,010157,00,35661
01,01,010158,00,35653
01,01,010159,04,35630
01,01,010160,07,36301
01,01,010161,07,35213
01,01,010162,07,35235
01,01,010163,07,36302
01,01,010164,00,35150
01,01,010165,01,36207
01,01,010167,00,35205
01,01,010168,00,36867
01,01,010169,00,36502
01,01,010170,01,35007
01,01,010171,07,36904
01,01,010172,00,35611
"",01,01019F,00,36109
"",01,01021F,00,35404
"",01,01022F,00,36083
"",01,01047E,04,35401
01,21,011002,00,36330
01,21,011005,00,36701
01,21,011007,00,36619
01,21,011008,00,36107
01,21,011009,00,36610
01,21,011010,00,36207
01,21,011011,00,36251
01,21,011012,00,35212
01,21,011013,00,36401
01,21,011014,00,36445
01,21,011015,00,36480
01,21,011016,00,36502
01,21,011018,00,36426
01,21,011019,00,36605
01,21,011020,00,36502
01,21,011021,00,35188
01,21,011023,00,35401
01,21,011024,00,36750
01,21,011025,00,36867
01,21,011026,00,35501
01,21,011027,00,35447
11,01,011300,00,36518
11,01,011301,01,36502
11,01,011302,00,35582
11,01,011303,01,36274
11,01,011304,00,36904
11,01,011305,00,35121
01,19,011427,07,36532
01,16,011500,00,36109
01,16,011501,00,35173
01,16,011502,00,36532
01,16,011503,00,36609
01,16,011504,00,35901
01,16,011505,00,35805
01,16,011506,00,35504
01,16,011507,04,35211
01,16,011508,00,36207
01,16,011509,04,35630
01,16,011510,00,35058
01,16,011511,00,35601
01,16,011512,00,35768
01,16,011513,00,35951
01,16,011514,00,35242
01,16,011515,01,36027
01,16,011516,00,35611
01,16,011517,00,35404
01,16,011518,01,35021
01,16,011519,01,36904
01,16,011520,03,35205
01,16,011521,01,36608
